Metabolite_physical,Weight_physical,Direction_physical,Rank_physical,Stability_physical,AbsWeight_physical
97927,0.013505001,Positive,1385,1,0.013505001
139574,0.013503227,Positive,1386,1,0.013503227
59808,-0.013480097,Negative,1387,0.9,0.013480097
61116,-0.01347364,Negative,1388,1,0.01347364
80434,0.013447287,Positive,1389,1,0.013447287
89677,-0.013438277,Negative,1390,0.9,0.013438277
8316,-0.01341421,Negative,1391,0.9,0.01341421
41841,-0.013409971,Negative,1392,1,0.013409971
63451,-0.013409281,Negative,1393,1,0.013409281
9069,-0.013405829,Negative,1394,1,0.013405829
87611,0.013404712,Positive,1395,1,0.013404712
52809,-0.013401878,Negative,1396,1,0.013401878
23871,-0.013381092,Negative,1397,1,0.013381092
31521,-0.013376627,Negative,1398,1,0.013376627
49357,-0.013372842,Negative,1399,1,0.013372842
74573,0.013365697,Positive,1400,1,0.013365697
99870,-0.013351962,Negative,1401,0.9,0.013351962
60084,-0.013343119,Negative,1402,1,0.013343119
50522,-0.013340508,Negative,1403,1,0.013340508
69824,0.013339558,Positive,1404,1,0.013339558
11781,0.013326688,Positive,1405,1,0.013326688
35804,-0.013291795,Negative,1406,0.9,0.013291795
8808,-0.013230969,Negative,1407,0.9,0.013230969
90665,0.013204275,Positive,1408,1,0.013204275
38355,-0.013187127,Negative,1409,1,0.013187127
16463,0.013176818,Positive,1410,0.9,0.013176818
85524,0.013176294,Positive,1411,0.9,0.013176294
5050,-0.013147269,Negative,1412,1,0.013147269
18687,0.013095058,Positive,1413,0.9,0.013095058
51392,-0.01308729,Negative,1414,1,0.01308729
18452,-0.01307866,Negative,1415,1,0.01307866
89650,-0.013067432,Negative,1416,0.9,0.013067432
95819,0.01306245,Positive,1417,1,0.01306245
27158,-0.013047012,Negative,1418,1,0.013047012
82873,0.013044164,Positive,1419,1,0.013044164
13073,-0.013043683,Negative,1420,1,0.013043683
82309,-0.013032972,Negative,1421,0.9,0.013032972
58252,-0.013019145,Negative,1422,1,0.013019145
23709,-0.01298685,Negative,1423,1,0.01298685
29942,-0.012976882,Negative,1424,0.9,0.012976882
14829,0.012970184,Positive,1425,1,0.012970184
14635,-0.012968864,Negative,1426,1,0.012968864
89521,0.012962926,Positive,1427,1,0.012962926
43364,0.012945855,Positive,1428,0.9,0.012945855
22263,-0.012944562,Negative,1429,1,0.012944562
60042,-0.012939028,Negative,1430,1,0.012939028
16732,-0.012926381,Negative,1431,1,0.012926381
138857,0.012921104,Positive,1432,0.9,0.012921104
44175,0.012895375,Positive,1433,1,0.012895375
29938,-0.012895157,Negative,1434,0.9,0.012895157
54506,-0.012887294,Negative,1435,1,0.012887294
101874,-0.012874805,Negative,1436,0.9,0.012874805
30098,0.012870514,Positive,1437,0.9,0.012870514
87066,0.012869876,Positive,1438,1,0.012869876
16219,-0.012841699,Negative,1439,1,0.012841699
82144,0.012791358,Positive,1440,1,0.012791358
35148,-0.012778615,Negative,1441,0.9,0.012778615
89694,-0.012778394,Negative,1442,0.9,0.012778394
28817,-0.01276713,Negative,1443,0.9,0.01276713
94952,0.01275816,Positive,1444,1,0.01275816
23500,-0.012754514,Negative,1445,0.9,0.012754514
17588,-0.012744528,Negative,1446,1,0.012744528
40848,0.012737703,Positive,1447,0.9,0.012737703
9000,-0.012737296,Negative,1448,0.9,0.012737296
33017,-0.01272324,Negative,1449,1,0.01272324
23405,-0.012706578,Negative,1450,1,0.012706578
91041,0.012697025,Positive,1451,1,0.012697025
12424,0.012673895,Positive,1452,0.9,0.012673895
16472,-0.012672809,Negative,1453,1,0.012672809
31251,-0.012635864,Negative,1454,1,0.012635864
16006,0.012632668,Positive,1455,1,0.012632668
55966,-0.012610008,Negative,1456,0.9,0.012610008
103020,0.012605081,Positive,1457,1,0.012605081
34524,-0.012598275,Negative,1458,0.9,0.012598275
14850,-0.012588566,Negative,1459,1,0.012588566
68767,0.012576507,Positive,1460,1,0.012576507
87869,0.012573935,Positive,1461,1,0.012573935
