"Metabolite","Weight","Direction","Rank","Stability"
"68950",0.0277317298995544,"Positive",420,1
"12391",0.0276872566046897,"Positive",421,1
"5382",-0.0276493817228512,"Negative",422,1
"51301",-0.0275790702958668,"Negative",423,1
"89051",0.0275750737594672,"Positive",424,1
"6735",-0.0275485444319731,"Negative",425,1
"8805",-0.0275345052508509,"Negative",426,1
"16818",-0.0275091751516955,"Negative",427,1
"66721",-0.0274464796855204,"Negative",428,1
"38832",-0.0274454687943302,"Negative",429,1
"34564",-0.0273974463007145,"Negative",430,1
"15856",0.0273071147059417,"Positive",431,1
"8099",0.0273013923943316,"Positive",432,1
"8390",-0.0273011227652989,"Negative",433,1
"19745",-0.0272725500540361,"Negative",434,1
"9973",-0.0272681244066416,"Negative",435,1
"136585",0.0272195195427641,"Positive",436,1
"83013",0.0272118979504272,"Positive",437,1
"11636",-0.02719631630377,"Negative",438,1
"104047",0.0271845643071379,"Positive",439,1
"35050",-0.0271149640841639,"Negative",440,1
"68750",0.0270978403770867,"Positive",441,1
"24771",-0.0270951514470343,"Negative",442,1
"23482",-0.0270816380071383,"Negative",443,1
"35102",-0.0270786227257827,"Negative",444,1
"50279",-0.0270744734183951,"Negative",445,1
"6853",-0.027064272665749,"Negative",446,1
"101900",0.0270617610633426,"Positive",447,1
"73259",-0.0270557769037394,"Negative",448,1
"22709",-0.0270505230607978,"Negative",449,1
"28096",-0.0270484777666102,"Negative",450,1
"10375",-0.0269787052771169,"Negative",451,1
"7956",-0.0269739076067759,"Negative",452,1
"73880",-0.026931831915347,"Negative",453,1
"81507",-0.0269288377348371,"Negative",454,1
"85888",0.0269057085774683,"Positive",455,1
"27284",-0.0268350054826235,"Negative",456,1
"6508",-0.0268202495971204,"Negative",457,1
"58465",-0.0267856962544821,"Negative",458,1
"53257",-0.0267649560837236,"Negative",459,1
"55075",-0.0267489930838763,"Negative",460,1
"68928",0.0266614450476724,"Positive",461,1
"4877",0.0266331073525142,"Positive",462,1
"68855",0.0266259714370564,"Positive",463,1
"21457",-0.0265659470691714,"Negative",464,1
"27538",-0.0265649113840883,"Negative",465,1
"43755",-0.0265470948865015,"Negative",466,1
"99740",-0.0265389939713213,"Negative",467,0.9
"84784",0.0265373979033982,"Positive",468,1
"7030",-0.0265235742280207,"Negative",469,1
"26822",-0.0265165272695186,"Negative",470,1
"21086",0.0265064608961236,"Positive",471,1
"21567",-0.0264858627681234,"Negative",472,1
"5289",-0.0264732487816759,"Negative",473,1
"86693",0.0264600169607484,"Positive",474,1
"14151",-0.0264551813935438,"Negative",475,1
"15237",-0.0264455195991533,"Negative",476,1
